,CB_ID,CSR_Num,DateCreate,Block,Lot,status,servicerequestnum,srstatus,createddate
1869,,,,,,,19-00555034,Pending,2019-09-09T14:03:58.000
1870,,,,,,,19-00554613,Open,2019-09-09T12:47:17.000
1871,,,,,,,19-00555001,Open,2019-09-09T14:00:04.000
1872,,,,,,,19-00555035,Pending,2019-09-09T14:04:06.000
1873,,,,,,,19-00714217,Open,2019-10-22T11:18:37.000
1874,,,,,,,19-00534787,Open,2019-08-30T07:45:05.000
1875,,,,,,,19-00534641,Open,2019-08-30T07:10:09.000
1876,,,,,,,19-00510856,Open,2019-08-23T12:15:28.000
1877,,,,,,,19-00511745,Open,2019-08-23T16:10:08.000
1878,,,,,,,19-00705402,Open,2019-10-17T12:38:23.000
1879,,,,,,,19-00511316,Open,2019-08-23T14:20:17.000
1880,,,,,,,19-00520631,Open,2019-08-27T12:27:27.000
1881,,,,,,,19-00504743,Open,2019-08-21T13:31:10.000
1882,,,,,,,19-00506477,Pending,2019-08-22T08:15:16.000
1883,,,,,,,19-00520634,Open,2019-08-27T12:27:45.000
1884,,,,,,,19-00663488,Open,2019-06-06T16:52:00.000
1885,,,,,,,19-00663206,Open,2019-06-17T09:07:00.000
1886,,,,,,,19-00663197,Open,2019-06-06T16:44:00.000
1887,,,,,,,19-00672313,Pending,2019-10-01T12:58:10.000
1888,,,,,,,19-00657643,Open,2019-05-30T07:56:00.000
1889,,,,,,,19-00663489,Open,2019-06-06T17:21:00.000
1890,,,,,,,19-00659360,Open,2019-06-06T16:39:00.000
1891,,,,,,,19-00663090,Open,2019-06-06T16:58:00.000
1892,,,,,,,19-00651119,Open,2019-06-06T17:15:00.000
1893,,,,,,,19-00493154,Open,2019-08-16T17:35:05.000
1894,,,,,,,19-00473342,Pending,2019-08-14T13:52:22.000
1895,,,,,,,19-00474405,Pending,2019-08-14T15:01:10.000
1896,,,,,,,19-00221392,Open,2019-04-18T13:55:19.000
1897,,,,,,,19-00046960,Open,2019-01-25T09:00:32.000
1898,,,,,,,18-00757505,New,2018-10-04T11:08:58.000
1899,,,,,,,18-00781701,New,2018-10-16T11:29:20.000
1900,,,,,,,18-00711715,Open,2018-09-14T11:10:41.000
1901,,,,,,,18-00706257,New,2018-09-12T09:57:19.000
1902,,,,,,,18-00647390,New,2018-09-07T07:03:26.000
1903,,,,,,,18-00370029,New,2018-05-22T06:35:42.000
1904,,,,,,,17-00670924,Open,2017-10-30T10:41:45.000
1905,,,,,,,17-00670926,New,2017-10-30T10:41:57.000
1906,,,,,,,17-00510897,New,2017-08-18T06:50:02.000
1907,,,,,,,17-00501999,New,2017-08-15T09:26:39.000
