,srid,Created Date,Block_Number_c,sr status,CB_ID,CSR_Num,DateCreate,Block,Lot,status
1830,,,,,C1714664-1,20-00084604,2020-02-10 14:57:00,7095,086,NEW
1831,,,,,C898277-5,20-00084845,2020-02-10 16:07:00,4626,003,NEW
17,19-00046960,2019-01-25 09:00:32,3400,Open,,,,,,
145,17-00510897,2017-08-18 06:50:02,3500,New,,,,,,
151,18-00849884,2018-11-19 10:46:00,3900,Pending,,,,,,
347,20-00009248,2020-01-06 14:38:48,800,Open,,,,,,
460,19-00221392,2019-04-18 13:55:19,3000,Open,,,,,,
476,18-00757505,2018-10-04 11:08:58,600,New,,,,,,
587,18-00370029,2018-05-22 06:35:42,900,New,,,,,,
627,19-00493154,2019-08-16 17:35:05,1500,Open,,,,,,
628,18-00711715,2018-09-14 11:10:41,4600,Open,,,,,,
874,17-00501999,2017-08-15 09:26:39,5500,New,,,,,,
881,18-00647390,2018-09-07 07:03:26,1800,New,,,,,,
883,19-00006890,2019-01-04 10:06:09,3900,Pending,,,,,,
1007,19-00520631,2019-08-27 12:27:27,3000,Open,,,,,,
1008,19-00520634,2019-08-27 12:27:45,300,Open,,,,,,
1018,17-00670924,2017-10-30 10:41:45,2900,Open,,,,,,
1019,17-00670926,2017-10-30 10:41:57,2900,New,,,,,,
1034,18-00706257,2018-09-12 09:57:19,300,New,,,,,,
1037,18-00781701,2018-10-16 11:29:20,700,New,,,,,,
1151,19-00510856,2019-08-23 12:15:28,1900,Open,,,,,,
1214,19-00534787,2019-08-30 07:45:05,2000,Open,,,,,,
1218,19-00534641,2019-08-30 07:10:09,3300,Open,,,,,,
1229,19-00559193,2019-09-10 14:55:06,3600,Open,,,,,,
1231,19-00559244,2019-09-10 15:05:11,3600,Open,,,,,,
1250,19-00558619,2019-09-10 12:00:22,2200,Open,,,,,,
1251,19-00558588,2019-09-10 11:50:14,2800,Open,,,,,,
1254,19-00558873,2019-09-10 13:19:15,1500,Open,,,,,,
1288,19-00504743,2019-08-21 13:31:10,400,Open,,,,,,
1311,19-00619992,2019-08-15 12:09:13,3800,Open,,,,,,
1312,19-00622528,2019-08-15 19:39:04,600,Open,,,,,,
1342,19-00714217,2019-10-22 11:18:37,3400,Open,,,,,,
1348,19-00557033,2019-09-10 07:35:18,5400,Open,,,,,,
1397,19-00511745,2019-08-23 16:10:08,3100,Open,,,,,,
1405,19-00554613,2019-09-09 12:47:17,1800,Open,,,,,,
1408,19-00554648,2019-09-09 12:55:01,3300,Open,,,,,,
1412,19-00554689,2019-09-09 13:05:02,1600,Open,,,,,,
1415,19-00554738,2019-09-09 13:15:02,3400,Open,,,,,,
1417,19-00554766,2019-09-09 13:19:00,4800,Open,,,,,,
1418,19-00554773,2019-09-09 13:20:04,2900,Open,,,,,,
1424,19-00554902,2019-09-09 13:49:59,2300,Open,,,,,,
1425,19-00555158,2019-09-09 14:25:05,3500,Open,,,,,,
1426,19-00554957,2019-09-09 13:55:09,3000,Open,,,,,,
1430,19-00555001,2019-09-09 14:00:04,1000,Open,,,,,,
1435,19-00555042,2019-09-09 14:05:02,700,Open,,,,,,
1437,19-00558093,2019-09-10 10:15:24,3000,Open,,,,,,
1438,19-00558114,2019-09-10 10:20:13,2400,Open,,,,,,
1442,19-00558426,2019-09-10 11:15:17,2900,Open,,,,,,
1491,19-00705402,2019-10-17 12:38:23,1800,Open,,,,,,
1570,19-00511316,2019-08-23 14:20:17,2300,Open,,,,,,
1574,19-00557882,2019-09-10 09:35:15,4100,Open,,,,,,
